Buy/Sell,Instrument,CALL/PUT,Price in BTC,Price in $,Volatility,Amount BTC traded,Amount BTC 2,Theo profit,Mark Price,Prix actuel BTC,Date,Asset,Maturity,Strike,Type,Deribit_Instrument,Bid,Ask,is_active
buy,BTC-25APR25-112000-C,CALL,0.0055,459.61,0.5670000000000001,12.5,12.5,0.001,0.0054,83566.35,"17 Mar 2025, 09:47:12",BTC,2025-04-25,112000.0,C,BTC-25APR25-112000-C,0.0005,0.0007,True
buy,BTC-25APR25-85000-P,PUT,0.075,6266.42,0.523,0.1,0.1,0.0,0.0753,83552.23,"17 Mar 2025, 09:46:57",BTC,2025-04-25,85000.0,P,BTC-25APR25-85000-P,0.13,0.135,True
buy,BTC-25APR25-78000-P,PUT,0.0375,3134.91,0.536,0.1,0.1,0.0,0.0376,83597.71,"17 Mar 2025, 09:45:51",BTC,2025-04-25,78000.0,P,BTC-25APR25-78000-P,0.0675,0.0695,True
sell,BTC-25APR25-110000-C,CALL,0.0062,518.33,0.555,12.5,12.5,0.003,0.0064,83601.01,"17 Mar 2025, 09:44:53",BTC,2025-04-25,110000.0,C,BTC-25APR25-110000-C,0.0006,0.0007,True
buy,BTC-25APR25-115000-C,CALL,0.0043,359.48,0.5760000000000001,12.5,12.5,0.0009,0.0042,83601.01,"17 Mar 2025, 09:44:53",BTC,2025-04-25,115000.0,C,BTC-25APR25-115000-C,0.0004,0.0006,True
buy,BTC-25APR25-102000-P,PUT,0.2275,19019.08,0.537,0.1,0.1,0.0,0.2274,83600.34,"17 Mar 2025, 09:44:51",BTC,2025-04-25,102000.0,P,BTC-25APR25-102000-P,0.338,0.3445,True
buy,BTC-25APR25-122000-C,CALL,0.0027,225.72,0.605,12.5,12.5,0.0021,0.0025,83600.03,"17 Mar 2025, 09:44:13",BTC,2025-04-25,122000.0,C,BTC-25APR25-122000-C,0.0002,0.0004,True
sell,BTC-25APR25-140000-C,CALL,0.0009,75.24,0.6679999999999999,12.5,12.5,0.0006,0.0009,83600.03,"17 Mar 2025, 09:44:13",BTC,2025-04-25,140000.0,C,BTC-25APR25-140000-C,0.0,0.0002,True
sell,BTC-25APR25-135000-C,CALL,0.0011,91.97,0.644,12.5,12.5,0.0012,0.0012,83606.24,"17 Mar 2025, 09:43:51",BTC,2025-04-25,135000.0,C,BTC-25APR25-135000-C,0.0001,0.0003,True
buy,BTC-25APR25-122000-C,CALL,0.0026,217.38,0.601,12.5,12.5,0.0008,0.0025,83606.24,"17 Mar 2025, 09:43:51",BTC,2025-04-25,122000.0,C,BTC-25APR25-122000-C,0.0002,0.0004,True
sell,BTC-25APR25-110000-C,CALL,0.0063,526.74,0.556,12.5,12.5,0.0017,0.0064,83609.52,"17 Mar 2025, 09:43:26",BTC,2025-04-25,110000.0,C,BTC-25APR25-110000-C,0.0006,0.0007,True
buy,BTC-25APR25-118000-C,CALL,0.0035,292.63,0.588,12.5,12.5,0.0015,0.0034,83609.52,"17 Mar 2025, 09:43:26",BTC,2025-04-25,118000.0,C,BTC-25APR25-118000-C,0.0003,0.0005,True
buy,BTC-25APR25-78000-P,PUT,0.0375,3135.13,0.536,0.2,0.2,0.0,0.0376,83603.47,"17 Mar 2025, 09:40:48",BTC,2025-04-25,78000.0,P,BTC-25APR25-78000-P,0.0675,0.0695,True
sell,BTC-25APR25-76000-P,PUT,0.0295,2468.48,0.54,0.1,0.1,0.0,0.03,83677.2,"17 Mar 2025, 09:35:31",BTC,2025-04-25,76000.0,P,BTC-25APR25-76000-P,0.0535,0.0545,True
buy,BTC-25APR25-70000-P,PUT,0.015,1255.97,0.5770000000000001,0.1,0.1,0.0,0.0148,83731.39,"17 Mar 2025, 09:33:45",BTC,2025-04-25,70000.0,P,BTC-25APR25-70000-P,0.024,0.025,True
buy,BTC-25APR25-102000-C,CALL,0.0135,1130.73,0.54,0.1,0.1,0.0,0.0132,83757.54,"17 Mar 2025, 09:28:05",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
sell,BTC-25APR25-85000-C,CALL,0.063,5272.05,0.522,0.5,0.5,0.0001,0.0632,83683.31,"17 Mar 2025, 09:21:58",BTC,2025-04-25,85000.0,C,BTC-25APR25-85000-C,0.0155,0.0165,True
buy,BTC-25APR25-108000-C,CALL,0.0075,626.94,0.551,0.1,0.1,0.0,0.0076,83592.28,"17 Mar 2025, 09:17:38",BTC,2025-04-25,108000.0,C,BTC-25APR25-108000-C,0.0008,0.0009,True
buy,BTC-25APR25-116000-C,CALL,0.0039,325.78,0.578,0.1,0.1,0.0,0.0039,83533.52,"17 Mar 2025, 09:03:08",BTC,2025-04-25,116000.0,C,BTC-25APR25-116000-C,0.0004,0.0006,True
sell,BTC-25APR25-75000-P,PUT,0.0265,2214.29,0.541,0.1,0.1,0.0,0.027,83558.25,"17 Mar 2025, 08:58:34",BTC,2025-04-25,75000.0,P,BTC-25APR25-75000-P,0.0475,0.0485,True
sell,BTC-25APR25-85000-C,CALL,0.062,5183.42,0.519,0.5,0.5,0.0003,0.0625,83603.54,"17 Mar 2025, 08:47:31",BTC,2025-04-25,85000.0,C,BTC-25APR25-85000-C,0.0155,0.0165,True
buy,BTC-25APR25-120000-C,CALL,0.0028,233.63,0.59,0.5,0.5,0.0,0.0028,83439.63,"17 Mar 2025, 08:38:59",BTC,2025-04-25,120000.0,C,BTC-25APR25-120000-C,0.0002,0.0003,True
buy,BTC-25APR25-120000-C,CALL,0.0028,233.59,0.59,0.1,0.1,0.0,0.0027,83426.22,"17 Mar 2025, 08:38:49",BTC,2025-04-25,120000.0,C,BTC-25APR25-120000-C,0.0002,0.0003,True
buy,BTC-25APR25-82000-P,PUT,0.0575,4797.7,0.525,0.5,0.5,0.0,0.0575,83438.28,"17 Mar 2025, 08:38:24",BTC,2025-04-25,82000.0,P,BTC-25APR25-82000-P,0.1005,0.104,True
buy,BTC-25APR25-120000-C,CALL,0.0028,233.8,0.589,0.1,0.1,0.0,0.0028,83500.26,"17 Mar 2025, 08:33:04",BTC,2025-04-25,120000.0,C,BTC-25APR25-120000-C,0.0002,0.0003,True
buy,BTC-25APR25-120000-C,CALL,0.0028,233.86,0.589,0.1,0.1,0.0,0.0028,83521.53,"17 Mar 2025, 08:28:28",BTC,2025-04-25,120000.0,C,BTC-25APR25-120000-C,0.0002,0.0003,True
buy,BTC-25APR25-92000-C,CALL,0.033,2755.32,0.522,0.1,0.1,0.0,0.033,83494.56,"17 Mar 2025, 08:27:08",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
buy,BTC-25APR25-92000-C,CALL,0.033,2755.32,0.522,0.1,0.1,0.0,0.033,83494.56,"17 Mar 2025, 08:27:08",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
buy,BTC-25APR25-102000-C,CALL,0.013,1085.43,0.539,0.1,0.1,0.0,0.0127,83494.49,"17 Mar 2025, 08:27:05",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
buy,BTC-25APR25-120000-C,CALL,0.0028,233.81,0.589,0.1,0.1,0.0,0.0028,83503.19,"17 Mar 2025, 08:25:52",BTC,2025-04-25,120000.0,C,BTC-25APR25-120000-C,0.0002,0.0003,True
buy,BTC-25APR25-92000-C,CALL,0.033,2755.57,0.522,0.1,0.1,0.0,0.033,83502.03,"17 Mar 2025, 08:25:51",BTC,2025-04-25,92000.0,C,BTC-25APR25-92000-C,0.005,0.0055,True
buy,BTC-25APR25-120000-C,CALL,0.0028,233.81,0.589,0.1,0.1,0.0,0.0028,83503.15,"17 Mar 2025, 08:25:46",BTC,2025-04-25,120000.0,C,BTC-25APR25-120000-C,0.0002,0.0003,True
buy,BTC-25APR25-100000-C,CALL,0.015,1251.06,0.529,0.1,0.1,0.0,0.0152,83403.9,"17 Mar 2025, 08:23:36",BTC,2025-04-25,100000.0,C,BTC-25APR25-100000-C,0.0016,0.0018,True
buy,BTC-25APR25-102000-C,CALL,0.0125,1042.53,0.535,0.1,0.1,0.0,0.0126,83402.78,"17 Mar 2025, 08:23:35",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
buy,BTC-25APR25-102000-C,CALL,0.0125,1042.53,0.535,0.1,0.1,0.0,0.0126,83402.78,"17 Mar 2025, 08:23:35",BTC,2025-04-25,102000.0,C,BTC-25APR25-102000-C,0.0013,0.0015,True
